Weekday_Check,service,year,month_year,CBD_Check,trips,trip_miles,trip_time,monthly_trips,monthly_miles,monthly_time
Weekday,HVFHV,2020,Aug-20,CBD,1860130,9816673.231,626426.8297,88578,467461,29830
Weekday,Yellow Taxi,2020,Aug-20,CBD,470471,1727036.07,94539.4,22403,82240,4502
Weekday,Green Taxi,2020,Aug-20,CBD,5597,66565.06,8348.31,267,3170,398
Weekday,HVFHV,2020,Sep-20,CBD,2321607,11896126.71,787490.0022,105528,540733,35795
Weekday,Yellow Taxi,2020,Sep-20,CBD,662382,2212822.39,110233.03,30108,100583,5011
Weekday,Green Taxi,2020,Sep-20,CBD,5925,47678.86,8767.75,269,2167,399
Weekday,Yellow Taxi,2020,Oct-20,CBD,809656,2228563.33,129453.96,36803,101298,5884
Weekday,HVFHV,2020,Oct-20,CBD,2689808,13040257.88,893820.4436,122264,592739,40628
Weekday,Green Taxi,2020,Oct-20,CBD,6191,243770.38,9127.89,281,11080,415
Weekday,HVFHV,2020,Nov-20,CBD,2201051,11007570.33,721813.8831,104812,524170,34372
Weekday,Green Taxi,2020,Nov-20,CBD,5754,369157.98,8300.55,274,17579,395
Weekday,Yellow Taxi,2020,Nov-20,CBD,711649,2023900.36,108406.37,33888,96376,5162
Weekday,HVFHV,2020,Dec-20,CBD,2170799,11056988.4,717457.8753,94383,480739,31194
Weekday,Yellow Taxi,2020,Dec-20,CBD,721650,3075927.84,114423.42,31376,133736,4975
Weekday,Green Taxi,2020,Dec-20,CBD,5211,160262.09,7674.69,227,6968,334
Weekday,HVFHV,2021,Jan-21,CBD,2039065,10214032.23,618660.5539,97098,486382,29460
Weekday,Yellow Taxi,2021,Jan-21,CBD,625776,2029792.57,105119.78,29799,96657,5006
Weekday,Green Taxi,2021,Jan-21,CBD,4962,184520.36,7666.08,236,8787,365
Weekday,HVFHV,2021,Feb-21,CBD,2082416,10353461.54,670243.8319,104121,517673,33512
Weekday,Yellow Taxi,2021,Feb-21,CBD,635194,2190082.37,103116.57,31760,109504,5156
Weekday,Green Taxi,2021,Feb-21,CBD,4134,84317.52,6590.95,207,4216,330
Weekday,Yellow Taxi,2021,Mar-21,CBD,965488,3591657.69,167135.07,41978,156159,7267
Weekday,Green Taxi,2021,Mar-21,CBD,5495,44336.82,8391.93,239,1928,365
Weekday,HVFHV,2021,Mar-21,CBD,2834427,14365698.63,925004.2769,123236,624596,40218
Weekday,Green Taxi,2021,Apr-21,CBD,5540,112979.07,8265.94,252,5135,376
Weekday,HVFHV,2021,Apr-21,CBD,2974558,14996829.84,999450.9411,135207,681674,45430
Weekday,Yellow Taxi,2021,Apr-21,CBD,1088219,5788809.14,239240.84,49464,263128,10875
Weekday,Yellow Taxi,2021,May-21,CBD,1174839,6122165.99,318410.01,55945,291532,15162
Weekday,HVFHV,2021,May-21,CBD,3018218,15644896.78,1056268.949,143725,744995,50299
Weekday,Green Taxi,2021,May-21,CBD,5469,427190.47,7826.93,260,20342,373
Weekday,HVFHV,2021,Jun-21,CBD,3540134,18227627.36,1280948.081,160915,828529,58225
Weekday,Yellow Taxi,2021,Jun-21,CBD,1466648,6773722.15,435659.06,66666,307896,19803
Weekday,Green Taxi,2021,Jun-21,CBD,6433,2155861.53,7794.87,292,97994,354
Weekday,HVFHV,2021,Jul-21,CBD,3534392,18319859.04,1223372.184,160654,832721,55608
Weekday,Yellow Taxi,2021,Jul-21,CBD,1495062,8629178.37,508408.65,67957,392235,23109
Weekday,Green Taxi,2021,Jul-21,CBD,6244,1412082.79,8336.79,284,64186,379
Weekday,Yellow Taxi,2021,Aug-21,CBD,1478523,7807217.86,519262.88,67206,354874,23603
Weekday,Green Taxi,2021,Aug-21,CBD,6571,2006559.89,8938.19,299,91207,406
Weekday,HVFHV,2021,Aug-21,CBD,3323457,17492066.15,1146025.861,151066,795094,52092
Weekday,HVFHV,2021,Sep-21,CBD,3763798,19744542.4,1390064.942,171082,897479,63185
Weekday,Yellow Taxi,2021,Sep-21,CBD,1546904,8199054.06,609622,70314,372684,27710
Weekday,Green Taxi,2021,Sep-21,CBD,7856,2181513.72,11266.67,357,99160,512
Weekday,HVFHV,2021,Oct-21,CBD,3906804,20350170.97,1469160.178,186038,969056,69960
Weekday,Yellow Taxi,2021,Oct-21,CBD,1699367,8914538.93,672346.02,80922,424502,32016
Weekday,Green Taxi,2021,Oct-21,CBD,8022,2847007.65,9493.09,382,135572,452
Weekday,HVFHV,2021,Nov-21,CBD,4142444,22205397.13,1550745.513,188293,1009336,70488
Weekday,Yellow Taxi,2021,Nov-21,CBD,1830188,9671683.27,812837.1,83190,439622,36947
Weekday,Green Taxi,2021,Nov-21,CBD,8153,2758185.94,9330.62,371,125372,424
Weekday,Yellow Taxi,2021,Dec-21,CBD,1734133,9500666.12,836616.07,75397,413072,36375
Weekday,Green Taxi,2021,Dec-21,CBD,7442,1299807.7,7242.16,324,56513,315
Weekday,HVFHV,2021,Dec-21,CBD,4068556,22452925.11,1500342.822,176894,976214,65232
Weekday,Green Taxi,2022,Jan-22,CBD,4381,496217.77,1597.25,209,23629,76
Weekday,HVFHV,2022,Jan-22,CBD,3178201,15820535.08,1020490.181,151343,753359,48595
Weekday,Yellow Taxi,2022,Jan-22,CBD,1188062,6059830.76,371608.74,56574,288563,17696
Weekday,HVFHV,2022,Feb-22,CBD,3913779,19766316.09,1376604.232,195689,988316,68830
